time,phiDeg,thetaDeg,psiDeg,omegaX,omegaY,omegaZ,wheel1,wheel2,wheel3,wheel4,uX,uY,uZ
596,-0.616676697274125,-0.289526433952071,0.217726554473301,2.67300150758092e-05,1.2854118534873e-05,-9.8604911866284e-06,8.83275102336294e-05,2.43301509042528e-05,-6.12544144765982e-05,2.96776782971131e-05,-0.000105461925787391,-4.14645664580141e-05,4.41199989228368e-05
597,-0.615144429031346,-0.28879694881864,0.217170068360155,2.66597655255804e-05,1.28195903979101e-05,-9.83391687563319e-06,8.8244154882438e-05,2.42122778748328e-05,-6.11445939227738e-05,2.96249039637115e-05,-0.000105348101160604,-4.13162241529985e-05,4.40406476446082e-05
598,-0.613616192417916,-0.288069407490976,0.216615062383067,2.65897906599586e-05,1.27851911799202e-05,-9.80744434933061e-06,8.81615608925379e-05,2.40953848722668e-05,-6.10361356669682e-05,2.95723484980966e-05,-0.000105235164258483,-4.11689882382124e-05,4.39625323010226e-05
599,-0.612091971688558,-0.287343802789176,0.216061530965903,2.65200877648505e-05,1.27509198791875e-05,-9.78107274752593e-06,8.80797173507998e-05,2.3979462129271e-05,-6.09290238590974e-05,2.95200091114765e-05,-0.000105123102557791,-4.10228473362622e-05,4.38856386521063e-05
600,-0.610571751253137,-0.286620127589024,0.215509468579571,2.6450654162295e-05,1.27167755043557e-05,-9.75480122009068e-06,8.799861343977e-05,2.38644999171374e-05,-6.08232427593119e-05,2.94678830289254e-05,-0.000105011903638968,-4.08777901163359e-05,4.38099525601134e-05
601,-0.609055515674591,-0.285898374821413,0.214958869741474,2.63814872101762e-05,1.26827570743836e-05,-9.72862892689469e-06,8.79182384386302e-05,2.37504885478155e-05,-6.07187767400204e-05,2.94159674899717e-05,-0.000104901555187439,-4.07338052966239e-05,4.3735459991212e-05
602,-0.607543249666875,-0.285178537471771,0.214409729014962,2.63125843019082e-05,1.26488636185097e-05,-9.70255503773044e-06,8.78385817237141e-05,2.36374183762294e-05,-6.06156102875387e-05,2.93642597492813e-05,-0.000104792044994516,-4.05908816470311e-05,4.3662147016737e-05
603,-0.606034938092929,-0.284460608579494,0.213862041008788,2.62439428661644e-05,1.2615094176196e-05,-9.6765787322475e-06,8.77596327696694e-05,2.35252798019299e-05,-6.05137280041032e-05,2.93127570771201e-05,-0.000104683360958835,-4.04490079910953e-05,4.35899998149378e-05
604,-0.604530565962659,-0.283744581237369,0.213315800376574,2.61755603665603e-05,1.25814477970876e-05,-9.65069919987528e-06,8.76813811499096e-05,2.34140632712282e-05,-6.04131146093588e-05,2.9261456759988e-05,-0.000104575491087169,-4.03081732084879e-05,4.35190046720991e-05
605,-0.603030118430937,-0.283030448591016,0.212771001816268,2.61074343013507e-05,1.25479235409621e-05,-9.62491563974976e-06,8.76038165372771e-05,2.33037592790137e-05,-6.03137549419485e-05,2.92103561011332e-05,-0.000104468423495391,-4.01683662371278e-05,4.34491479838344e-05
606,-0.601533580795614,-0.282318203838316,0.212227640069622,2.60395622031057e-05,1.25145204776739e-05,-9.5992272606416e-06,8.7526928704511e-05,2.31943583704099e-05,-6.02156339610456e-05,2.91594524208938e-05,-0.000104362146408934,-4.00295760748326e-05,4.33804162566228e-05
